,0
regular,60151
script,240
outline,219
personal use,333
jack,1
jack and the beanstalk,1
jack pirate alt personal use,1
italic,2679
jackal nest gt,1
medium,2636
3d regular,682
3d expanded expanded,7
academy regular,160
bold bold,279
condensed condensed,603
expanded expanded,589
italic italic,684
rotalic italic,115
3d condense condensed,1
3d xtra-con extra-condensed,1
academy con condensed,1
bold conden bold condensed,1
bold expand bold expanded,1
bold xtraco bold extra-condensed,1
cond rotal condensed italic,1
extra-cond extra-condensed,1
bold,2415
thin,290
shadow regular,98
tilted,17
demo,478
oblique regular,23
awesome,2
normal,659
jaguar,1
jaguar ywro,1
jaguar rwz7,1
bold italic,902
fet,1
fetobl,1
isst,1
isstobl,1
kis,1
kisobl,1
kl,1
klobl,1
latt,1
lattobl,1
obl,54
skylt,1
skyltobl,1
personal,41
rough,74
outline regular,250
light,515
light italic,144
jackport greek ncv,1
jackport regular ncv,1
james stroker,1
jamie handwriting bold personal use regular,1
jamie handwriting light personal use regular,1
-hollow regular,236
-hollow-inverse regular,182
-inverse regular,287
-light regular,205
solid regular,40
janda manatee solid,1
janda polkadot punch,1
2 regular,48
nosecret,1
slice,1
demo regular,16
j202,1
italic regular,208
caps regular,6
caps italic regular,1
semi-italic regular,134
super-italic regular,103
caps semi-italic regular,1
caps super-italic regular,1
condensed regular,211
condensed italic regular,81
caps condensed regular,1
caps condensed italic regular,1
expanded regular,119
expanded italic regular,93
caps expanded regular,1
caps expanded italic regular,1
caps leftalic regular,1
caps semi-leftalic regular,1
leftalic regular,126
semi-leftalic regular,143
3d italic regular,108
caps 3d regular,1
caps 3d italic regular,1
wide regular,63
wide italic regular,26
caps wide regular,1
caps wide italic regular,1
ê÷g î÷g®í÷g î÷g7hi”îg:,1
dotted,3
jasper solid brk,1
bold personal use,23
thin personal use,22
farisjauhari,1
faris jauhari,1
untitled regular,2
jawbreaker hard brk,1
jawbreaker ol1 brk,1
jawbreaker ol2 brk,1
jaydencollinstwodemo,1
jayen king (demo),1
thin italic,85
medium italic,97
black,332
black italic,80
jcaguirrep - luuku raymi,1
jcaguirrep - luuku raymi ancho,1
jcaguirrep - old type,1
jcaguirrep - persons,1
jcaguirrep - persons day,1
jcaguirrep - racastro,1
black black,7
jean-claude's hand,1
utility jeepney,1
black oblique,14
jekyll -brk-,1
stamp personal use,1
personal use regular,4
elsker-dig,1
leftalic italic,527
outline italic italic,74
3d italic italic,488
laser regular,330
laser italic italic,246
gradient regular,387
gradient italic italic,247
condensed italic condensed italic,455
expanded italic expanded italic,489
script demo,4
semi-italic semi-italic,274
super-italic super-italic,4
halftone regular,328
halftone italic italic,199
title title,1
title italic italic,115
bold regular,88
keepin it real,1
albino,1
ganked,1
chunkie,1
v2.0 regular,1
v2.0 thik,1
display grunge,2
jeopardize thick brk,1
reg,19
italic demo,5
book,69
